Location,GUID,Last Name,First Name,Email,Phone Number,Employee ID,Job GUIDs,Job Descriptions,Wages
AIO Food Court,XYZ123,Siddiqui,Ahmed,Ahmed1@xyz.com,1234567890,ABC123,ABC456,Server; Manager,5.25; 5
AIO Food Court,XYZ124,Tariq,Fatima,Fatima1@xyz.com,1234567891,ABC124,ABC457,Manager,15
AIO Food Court,XYZ125,Jan Khattak,Asad,Asad2@xyz.com,1234567892,ABC125,ABC458,Server,8.5
AIO Food Court,XYZ126,Azhar,Haris,Haris2@xyz.com,1234567893,ABC126,ABC459,Server,9
AIO Food Court,XYZ127,Waseem,Faraz,Faraz1@xyz.com,1234567894,ABC127,ABC460,Server,6
AIO Food Court,XYZ128,Moiz Ul Haq,Mohammed,Mohammed1@xyz.com,1234567895,ABC128,ABC461,Manager,14
AIO Food Court,XYZ129,Shahid,Nida,Nida1@xyz.com,1234567896,ABC129,ABC462,Server,7
AIO Food Court,XYZ130,Shahid,Faizan,Faizan1@xyz.com,1234567897,ABC130,ABC463,Server,8
AIO Food Court,XYZ131,Ahmed,Haris,Haris3@xyz.com,1234567898,ABC131,ABC464,Server,5.25
AIO Food Court,XYZ132,Nofil,Raja,Raja1@xyz.com,1234567899,ABC132,ABC465,Manager,8.5
AIO Food Court,XYZ133,Haroon,Danyal,Danyal1@xyz.com,1234567900,ABC133,ABC466,Server,9
AIO Food Court,XYZ134,Khalid,Hannan,Hannan1@xyz.com,1234567901,ABC134,ABC467,Server,6
AIO Food Court,XYZ135,Abrar,Iman,Iman1@xyz.com,1234567902,ABC135,ABC468,Server,7
AIO Food Court,XYZ136,Ahmad,Waqas,Waqas1@xyz.com,1234567903,ABC136,ABC469,Manager,8
AIO Food Court,XYZ137,Shahid,Parivash,Parivash1@xyz.com,1234567904,ABC137,ABC470,Server,5.25
AIO Food Court,XYZ138,Saleem,Namra,Namra1@xyz.com,1234567905,ABC138,ABC471,Server,8.5
AIO Food Court,XYZ139,Hassan,Rameen,Rameen1@xyz.com,1234567906,ABC139,ABC472,Server,9
AIO Food Court,XYZ140,Bin Saif,Asad,Asad1@xyz.com,1234567907,ABC140,ABC473,Manager,6
AIO Food Court,XYZ141,Javed,Hifza,Hifza1@xyz.com,1234567908,ABC141,ABC474,Server,7
AIO Food Court,XYZ142,Zafar,Arhum,Arhum1@xyz.com,1234567909,ABC142,ABC475,Server,8
AIO Food Court,XYZ143,Sarosh Atif,Muhammad,Muhammad5@xyz.com,1234567910,ABC143,ABC476,Server,5.25
AIO Food Court,XYZ144,Abbas,Murtajiz,Murtajiz1@xyz.com,1234567911,ABC144,ABC477,Manager,8.5
AIO Food Court,XYZ145,Anees,Rida,Rida1@xyz.com,1234567912,ABC145,ABC478,Server,9
AIO Food Court,XYZ146,Malik,Hassan,Hassan1@xyz.com,1234567913,ABC146,ABC479,Server,6
AIO Food Court,XYZ147,Tayyab Nawaz,Muhammad,Muhammad16@xyz.com,1234567914,ABC147,ABC480,Server,7
AIO Food Court,XYZ148,Fatima,Mehk,Mehk1@xyz.com,1234567915,ABC148,ABC481,Manager,8
AIO Food Court,XYZ149,Bashir,Shahrukh,Shahrukh1@xyz.com,1234567916,ABC149,ABC482,Server,8
AIO Food Court,XYZ150,Ali Noor,Baber,Baber1@xyz.com,1234567917,ABC150,ABC483,Server,5.25
AIO Food Court,XYZ151,Zehra,Iraj,Iraj1@xyz.com,1234567918,ABC151,ABC484,Server,9
AIO Food Court,XYZ152,Imran,Mariam,Mariam1@xyz.com,1234567919,ABC152,ABC485,Manager,6
AIO Food Court,XYZ153,Shahzad,Rabia,Rabia1@xyz.com,1234567920,ABC153,ABC486,Server,7
AIO Food Court,XYZ154,Sarfraz,Ayesha,Ayesha1@xyz.com,1234567921,ABC154,ABC487,Server,8
AIO Food Court,XYZ155,Waleed Bin Haider,Muhammad,Muhammad1@xyz.com,1234567922,ABC155,ABC488,Server,5.25
AIO Food Court,XYZ156,Ali,Haris,Haris1@xyz.com,1234567923,ABC156,ABC489,Manager,9
AIO Food Court,XYZ157,Shahid,Manahil,Manahil1@xyz.com,1234567924,ABC157,ABC490,Server,6
AIO Food Court,XYZ158,Ahmed Sheikh,Anwar,Anwar1@xyz.com,1234567925,ABC158,ABC491,Server,7
